number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_dropout2d,params_fc_mid,params_lr,params_optimizer_type,params_scheduler_type,params_weight_decay,state
82,33.93,2025-10-16 16:42:14.104711,2025-10-16 16:44:04.046700,0 days 00:01:49.941989,128,0.1369649470842137,0.18374629429105907,192,0.00279126179940986,adam,none,1.3714034286125504e-05,PRUNED
83,35.98,2025-10-16 16:44:04.049139,2025-10-16 16:45:49.013358,0 days 00:01:44.964219,128,0.17745522034806493,0.21188375794299216,128,0.0009414244351493724,adam,none,2.4809333525185655e-05,PRUNED
84,43.51,2025-10-16 16:45:49.015020,2025-10-16 16:48:48.310052,0 days 00:02:59.295032,512,0.13481300977445843,0.11717753758719135,192,0.0004870268948433259,adam,none,1.978111979761386e-05,PRUNED
85,28.86,2025-10-16 16:48:48.311756,2025-10-16 16:50:31.256679,0 days 00:01:42.944923,128,0.1356157795215999,0.2887034146593419,192,0.005481502072846222,adam,none,1.6372818262441886e-05,PRUNED
86,36.01,2025-10-16 16:50:31.258110,2025-10-16 16:52:18.621791,0 days 00:01:47.363681,128,0.14387917572588146,0.2627522218243303,192,0.0007111252138659683,adam,none,1.6581165659248454e-05,PRUNED
87,31.41,2025-10-16 16:52:18.623609,2025-10-16 16:54:01.703888,0 days 00:01:43.080279,128,0.3761784752705514,0.2276517409235042,128,0.001355045437550552,adam,cosine,9.284623172930396e-05,PRUNED
88,29.65,2025-10-16 16:54:01.705905,2025-10-16 16:55:46.203004,0 days 00:01:44.497099,256,0.3414834603841701,0.10279789775560202,128,0.00462350244249927,adam,cosine,0.00014047802254544875,PRUNED
89,42.31,2025-10-16 16:55:46.204791,2025-10-16 16:58:20.979710,0 days 00:02:34.774919,512,0.16926594997566397,0.20199965233091466,256,0.0005915696478138666,adamw,none,6.675135348834489e-05,PRUNED
90,34.67,2025-10-16 16:58:20.981322,2025-10-16 17:00:03.786552,0 days 00:01:42.805230,128,0.256965873036451,0.2661935932510907,192,0.001490588564752534,adamw,none,1.1891186909826395e-05,PRUNED
91,29.76,2025-10-16 17:00:03.788510,2025-10-16 17:01:45.900795,0 days 00:01:42.112285,512,0.28461385278237594,0.30500915200918177,192,0.0002062975161786055,adamw,none,0.0003991120120888499,PRUNED
92,26.81,2025-10-16 17:01:45.902597,2025-10-16 17:03:28.668536,0 days 00:01:42.765939,128,0.32286334161587726,0.37577636563630656,192,0.00010109137059028202,adam,none,0.0008873130068379832,PRUNED
93,28.45,2025-10-16 17:03:28.670427,2025-10-16 17:05:11.281384,0 days 00:01:42.610957,512,0.28450222230459427,0.38994191091180025,192,0.00026195433309792674,adamw,none,0.0008401910289293409,PRUNED
94,30.57,2025-10-16 17:05:11.283269,2025-10-16 17:06:55.622476,0 days 00:01:44.339207,128,0.28781360100771586,0.3210832640209215,192,0.00010495792813283992,adamw,none,0.0003375780936419584,PRUNED
95,36.29,2025-10-16 17:06:55.624557,2025-10-16 17:08:38.496480,0 days 00:01:42.871923,128,0.11514833475738874,0.17302956532152244,192,0.0011898369016416636,adam,cosine,2.5734877636719847e-05,PRUNED
96,24.34,2025-10-16 17:08:38.498624,2025-10-16 17:10:20.755655,0 days 00:01:42.257031,512,0.37132769858267456,0.3959562089849372,256,0.0001498898801868922,adam,none,0.0006985060221239065,PRUNED
97,39.0,2025-10-16 17:10:20.757846,2025-10-16 17:12:22.981589,0 days 00:02:02.223743,256,0.3347995161957533,0.10959103774261171,192,0.0001994503465009254,adamw,cosine,0.00031290628822981334,PRUNED
98,23.19,2025-10-16 17:12:22.983454,2025-10-16 17:14:05.194119,0 days 00:01:42.210665,512,0.2586372118965762,0.37046781232727677,192,0.00011513510189560208,adam,none,0.0008268617160016855,PRUNED
99,20.63,2025-10-16 17:14:05.195833,2025-10-16 17:15:47.318880,0 days 00:01:42.123047,512,0.19536249394570931,0.39973041806980775,128,0.00010350962993464839,adamw,none,0.0008325064135392865,PRUNED
100,34.55,2025-10-16 17:15:47.320358,2025-10-16 17:18:13.199031,0 days 00:02:25.878673,128,0.18778761746743458,0.2884724337726971,256,0.00113212457569224,adam,none,1.4181623257443438e-05,PRUNED
101,36.07,2025-10-16 17:18:13.201588,2025-10-16 17:21:22.737153,0 days 00:03:09.535565,256,0.28871110381364945,0.25409449721177924,256,0.001283891385748327,adamw,cosine,0.0007055792258110138,PRUNED
102,46.34,2025-10-16 17:21:22.738393,2025-10-16 17:26:48.699712,0 days 00:05:25.961319,128,0.39000968747470827,0.18013825084554164,256,0.0002952909320460498,adamw,cosine,0.0005832932480391821,PRUNED
103,44.03,2025-10-16 17:26:48.702380,2025-10-16 17:30:00.647621,0 days 00:03:11.945241,128,0.29362569578839404,0.13152052942368078,256,0.00019662122897282945,adamw,cosine,0.00016796139685832566,PRUNED
104,44.32,2025-10-16 17:30:00.649165,2025-10-16 17:33:06.624917,0 days 00:03:05.975752,128,0.3399619973536086,0.18220286131914976,256,0.00026497013375968183,adamw,none,0.00043333560547876974,PRUNED
105,34.62,2025-10-16 17:33:06.626891,2025-10-16 17:34:53.920995,0 days 00:01:47.294104,256,0.335101571401073,0.21384530314265218,256,0.0002552657806227858,adam,cosine,0.0009815780890610824,PRUNED
106,36.27,2025-10-16 17:34:53.923187,2025-10-16 17:36:41.350912,0 days 00:01:47.427725,256,0.2902003217572771,0.21111866526625844,256,0.0005322110695159096,adam,none,0.00039444517709761256,PRUNED
107,33.28,2025-10-16 17:36:41.353101,2025-10-16 17:38:25.772372,0 days 00:01:44.419271,512,0.26484560839241,0.3049748870771171,192,0.0019889046447030827,adam,none,3.605572320298208e-05,PRUNED
108,26.6,2025-10-16 17:38:25.774768,2025-10-16 17:40:11.326189,0 days 00:01:45.551421,512,0.2540356081126162,0.39376161737364657,192,0.00018988083960348674,adamw,cosine,0.00020309791401747936,PRUNED
109,46.03,2025-10-16 17:40:11.328334,2025-10-16 17:45:18.389403,0 days 00:05:07.061069,128,0.3559645604572963,0.10417797885882876,256,0.0006931538337786776,adamw,cosine,0.0005320070525311044,PRUNED
110,35.44,2025-10-16 17:45:18.391560,2025-10-16 17:47:03.236345,0 days 00:01:44.844785,512,0.13735608368510224,0.233449634479189,192,0.0010096075508217966,adamw,none,1.038469156654145e-05,PRUNED
111,43.63,2025-10-16 17:47:03.237644,2025-10-16 17:50:17.259060,0 days 00:03:14.021416,128,0.18700450047838163,0.23085754370946385,256,0.0011578864872445812,adamw,cosine,0.00019781663814805614,PRUNED
112,34.58,2025-10-16 17:50:17.260970,2025-10-16 17:52:02.545934,0 days 00:01:45.284964,128,0.3703890700136859,0.2297291828061261,256,0.00016459656039923058,adamw,cosine,0.0007400199472953803,PRUNED
113,33.05,2025-10-16 17:52:02.547448,2025-10-16 17:53:47.956068,0 days 00:01:45.408620,128,0.1595305329538848,0.24120956182285966,256,0.00010329606820558518,adamw,none,4.966980057858394e-05,PRUNED
114,36.34,2025-10-16 17:53:47.957936,2025-10-16 17:55:31.880632,0 days 00:01:43.922696,128,0.34219750582223096,0.13539975608481533,256,0.0005898463859144792,adam,none,0.0009098832624450083,PRUNED
115,39.33,2025-10-16 17:55:31.882476,2025-10-16 17:57:41.465200,0 days 00:02:09.582724,128,0.36422223683100996,0.21677475836357088,256,0.0006833357603752158,adamw,cosine,0.0006502957340598889,PRUNED
116,45.58,2025-10-16 17:57:41.467699,2025-10-16 18:01:29.395226,0 days 00:03:47.927527,128,0.30826245930278845,0.12031150592863997,128,0.0006774733231684861,adamw,cosine,0.0006584304007567484,PRUNED
